step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,12.007951,N/A,N/A,2.50e-07,0.00,20480,N/A,2025-07-26 16:21:32
125,6.795485,N/A,N/A,3.15e-05,31751.18,23135767436641419264,2580480,N/A,2025-07-26 21:11:17
126,8.982112,N/A,N/A,3.18e-05,31752.93,23135767436641419264,2600960,N/A,2025-07-26 21:11:18
127,8.952293,N/A,N/A,3.20e-05,31758.71,23135767436641419264,2621440,N/A,2025-07-26 21:11:19
128,7.064986,N/A,N/A,3.22e-05,31738.67,46271534873282838528,2641920,N/A,2025-07-26 21:11:19
129,7.041534,N/A,N/A,3.25e-05,31844.72,46271534873282838528,2662400,N/A,2025-07-26 21:11:20
130,7.788915,N/A,N/A,3.28e-05,31641.43,92543069746565677056,2682880,1.0000,2025-07-26 21:11:21
131,7.763233,N/A,N/A,3.30e-05,31640.98,92543069746565677056,2703360,N/A,2025-07-26 21:11:22
132,8.905313,N/A,N/A,3.33e-05,31638.77,185086139493131354112,2723840,N/A,2025-07-26 21:11:22
133,8.875964,N/A,N/A,3.35e-05,31608.42,370172278986262708224,2744320,N/A,2025-07-26 21:11:23
134,6.178873,N/A,N/A,3.38e-05,31609.44,370172278986262708224,2764800,N/A,2025-07-26 21:11:24
135,6.157380,N/A,N/A,3.40e-05,31615.49,370172278986262708224,2785280,N/A,2025-07-26 21:11:24
136,8.308569,N/A,N/A,3.42e-05,31575.13,740344557972525416448,2805760,N/A,2025-07-26 21:11:25
137,8.282010,N/A,N/A,3.45e-05,31363.50,1480689115945050832896,2826240,N/A,2025-07-26 21:11:26
138,6.263399,N/A,N/A,3.48e-05,31357.07,2961378231890101665792,2846720,N/A,2025-07-26 21:11:27
139,6.242305,N/A,N/A,3.50e-05,31528.83,2961378231890101665792,2867200,N/A,2025-07-26 21:11:27
140,6.541045,N/A,N/A,3.53e-05,31412.41,5922756463780203331584,2887680,1.0000,2025-07-26 21:11:28
141,6.519857,N/A,N/A,3.55e-05,31389.76,11845512927560406663168,2908160,N/A,2025-07-26 21:11:29
142,8.283401,N/A,N/A,3.58e-05,31415.22,11845512927560406663168,2928640,N/A,2025-07-26 21:11:29
143,8.260070,N/A,N/A,3.60e-05,31402.89,23691025855120813326336,2949120,N/A,2025-07-26 21:11:30
144,7.854228,N/A,N/A,3.63e-05,31382.57,47382051710241626652672,2969600,N/A,2025-07-26 21:11:31
145,7.832681,N/A,N/A,3.65e-05,31395.75,47382051710241626652672,2990080,N/A,2025-07-26 21:11:32
146,8.264113,N/A,N/A,3.68e-05,31623.93,47382051710241626652672,3010560,N/A,2025-07-26 21:11:32
147,8.242705,N/A,N/A,3.70e-05,31628.72,47382051710241626652672,3031040,N/A,2025-07-26 21:11:33
148,7.409484,N/A,N/A,3.72e-05,31671.13,47382051710241626652672,3051520,N/A,2025-07-26 21:11:34
149,7.390239,N/A,N/A,3.75e-05,31787.99,47382051710241626652672,3072000,N/A,2025-07-26 21:11:35
150,6.610809,N/A,N/A,3.78e-05,31676.84,94764103420483253305344,3092480,1.0000,2025-07-26 21:11:35
151,6.595126,N/A,N/A,3.80e-05,31673.54,94764103420483253305344,3112960,N/A,2025-07-26 21:11:36
152,6.628819,N/A,N/A,3.83e-05,31708.90,94764103420483253305344,3133440,N/A,2025-07-26 21:11:37
153,6.613775,N/A,N/A,3.85e-05,31661.40,189528206840966506610688,3153920,N/A,2025-07-26 21:11:37
154,8.350888,N/A,N/A,3.87e-05,31689.43,189528206840966506610688,3174400,N/A,2025-07-26 21:11:38
155,8.331898,N/A,N/A,3.90e-05,31682.74,379056413681933013221376,3194880,N/A,2025-07-26 21:11:39
156,5.945565,N/A,N/A,3.93e-05,31677.00,758112827363866026442752,3215360,N/A,2025-07-26 21:11:40
157,5.932149,N/A,N/A,3.95e-05,31654.76,1516225654727732052885504,3235840,N/A,2025-07-26 21:11:40
158,5.653168,N/A,N/A,3.98e-05,31621.85,3032451309455464105771008,3256320,N/A,2025-07-26 21:11:41
159,5.640291,N/A,N/A,4.00e-05,31742.72,3032451309455464105771008,3276800,N/A,2025-07-26 21:11:42
160,5.838992,N/A,N/A,4.03e-05,31573.78,6064902618910928211542016,3297280,1.0000,2025-07-26 21:11:42
161,5.988480,N/A,N/A,4.05e-05,31544.42,12129805237821856423084032,3317760,N/A,2025-07-26 21:11:43
162,7.288795,N/A,N/A,4.08e-05,31587.73,12129805237821856423084032,3338240,N/A,2025-07-26 21:11:44
163,6.735935,N/A,N/A,4.10e-05,31548.83,24259610475643712846168064,3358720,N/A,2025-07-26 21:11:45
164,6.537559,N/A,N/A,4.12e-05,31581.15,24259610475643712846168064,3379200,N/A,2025-07-26 21:11:45
165,6.977972,N/A,N/A,4.15e-05,31585.93,24259610475643712846168064,3399680,N/A,2025-07-26 21:11:46
166,7.015715,N/A,N/A,4.17e-05,31606.65,24259610475643712846168064,3420160,N/A,2025-07-26 21:11:47
167,6.494945,N/A,N/A,4.20e-05,31632.99,24259610475643712846168064,3440640,N/A,2025-07-26 21:11:47
168,6.879354,N/A,N/A,4.23e-05,31614.17,48519220951287425692336128,3461120,N/A,2025-07-26 21:11:48
169,6.893629,N/A,N/A,4.25e-05,31798.20,48519220951287425692336128,3481600,N/A,2025-07-26 21:11:49
170,7.077534,N/A,N/A,4.28e-05,31702.77,97038441902574851384672256,3502080,1.0000,2025-07-26 21:11:50
171,6.482408,N/A,N/A,4.30e-05,31726.29,97038441902574851384672256,3522560,N/A,2025-07-26 21:11:50
172,6.079589,N/A,N/A,4.33e-05,31763.65,97038441902574851384672256,3543040,N/A,2025-07-26 21:11:51
173,6.587218,N/A,N/A,4.35e-05,31768.89,97038441902574851384672256,3563520,N/A,2025-07-26 21:11:52
174,7.556077,N/A,N/A,4.38e-05,31666.11,194076883805149702769344512,3584000,N/A,2025-07-26 21:11:52
175,6.593246,N/A,N/A,4.40e-05,31618.11,388153767610299405538689024,3604480,N/A,2025-07-26 21:11:53
176,6.706710,N/A,N/A,4.42e-05,31595.92,776307535220598811077378048,3624960,N/A,2025-07-26 21:11:54
177,6.546895,N/A,N/A,4.45e-05,31622.64,776307535220598811077378048,3645440,N/A,2025-07-26 21:11:55
178,7.294781,N/A,N/A,4.47e-05,31594.44,1552615070441197622154756096,3665920,N/A,2025-07-26 21:11:55
179,7.935977,N/A,N/A,4.50e-05,31721.33,1552615070441197622154756096,3686400,N/A,2025-07-26 21:11:56
180,8.136547,N/A,N/A,4.53e-05,31639.33,3105230140882395244309512192,3706880,1.0000,2025-07-26 21:11:57
181,6.635568,N/A,N/A,4.55e-05,31620.46,6210460281764790488619024384,3727360,N/A,2025-07-26 21:11:58
182,6.540165,N/A,N/A,4.58e-05,31604.06,12420920563529580977238048768,3747840,N/A,2025-07-26 21:11:58
183,5.689387,N/A,N/A,4.60e-05,31711.94,12420920563529580977238048768,3768320,N/A,2025-07-26 21:11:59
184,6.990396,N/A,N/A,4.63e-05,31743.89,12420920563529580977238048768,3788800,N/A,2025-07-26 21:12:00
185,6.312355,N/A,N/A,4.65e-05,31763.33,12420920563529580977238048768,3809280,N/A,2025-07-26 21:12:00
186,5.967655,N/A,N/A,4.68e-05,31750.12,24841841127059161954476097536,3829760,N/A,2025-07-26 21:12:01
187,5.346796,N/A,N/A,4.70e-05,31776.11,24841841127059161954476097536,3850240,N/A,2025-07-26 21:12:02
188,6.231546,N/A,N/A,4.73e-05,31752.72,49683682254118323908952195072,3870720,N/A,2025-07-26 21:12:03
189,5.512918,N/A,N/A,4.75e-05,31794.09,49683682254118323908952195072,3891200,N/A,2025-07-26 21:12:03
190,5.365868,N/A,N/A,4.78e-05,31661.15,99367364508236647817904390144,3911680,1.0000,2025-07-26 21:12:04
191,5.924600,N/A,N/A,4.80e-05,31661.37,99367364508236647817904390144,3932160,N/A,2025-07-26 21:12:05
192,6.330233,N/A,N/A,4.83e-05,31568.18,198734729016473295635808780288,3952640,N/A,2025-07-26 21:12:05
193,6.877953,N/A,N/A,4.85e-05,31513.99,397469458032946591271617560576,3973120,N/A,2025-07-26 21:12:06
194,6.535664,N/A,N/A,4.87e-05,31530.49,397469458032946591271617560576,3993600,N/A,2025-07-26 21:12:07
195,6.971472,N/A,N/A,4.90e-05,31557.39,397469458032946591271617560576,4014080,N/A,2025-07-26 21:12:08
196,7.729897,N/A,N/A,4.93e-05,31544.14,794938916065893182543235121152,4034560,N/A,2025-07-26 21:12:08
197,7.112317,N/A,N/A,4.95e-05,31516.45,1589877832131786365086470242304,4055040,N/A,2025-07-26 21:12:09
198,7.010249,N/A,N/A,4.98e-05,31552.98,1589877832131786365086470242304,4075520,N/A,2025-07-26 21:12:10
199,7.431252,N/A,N/A,5.00e-05,31538.88,3179755664263572730172940484608,4096000,N/A,2025-07-26 21:12:10
200,7.811461,N/A,N/A,5.00e-05,31409.06,6359511328527145460345880969216,4116480,1.0000,2025-07-26 21:12:11
201,7.175837,N/A,N/A,5.00e-05,22121.54,12719022657054290920691761938432,4136960,N/A,2025-07-26 21:12:15
202,6.621059,N/A,N/A,5.00e-05,22135.30,12719022657054290920691761938432,4157440,N/A,2025-07-26 21:12:15
203,5.835530,N/A,N/A,5.00e-05,22127.15,25438045314108581841383523876864,4177920,N/A,2025-07-26 21:12:16
204,7.420291,N/A,N/A,5.00e-05,22118.33,50876090628217163682767047753728,4198400,N/A,2025-07-26 21:12:17
205,6.519578,N/A,N/A,5.00e-05,22132.78,50876090628217163682767047753728,4218880,N/A,2025-07-26 21:12:18
206,6.937693,N/A,N/A,5.00e-05,22150.26,50876090628217163682767047753728,4239360,N/A,2025-07-26 21:12:18
207,7.444521,N/A,N/A,5.00e-05,22145.16,101752181256434327365534095507456,4259840,N/A,2025-07-26 21:12:19
208,8.744352,N/A,N/A,5.00e-05,22223.06,101752181256434327365534095507456,4280320,N/A,2025-07-26 21:12:20
209,6.708591,N/A,N/A,5.00e-05,22282.99,101752181256434327365534095507456,4300800,N/A,2025-07-26 21:12:20
210,7.271751,N/A,N/A,5.00e-05,31684.94,101752181256434327365534095507456,4321280,1.0000,2025-07-26 21:12:21
211,7.149650,N/A,N/A,5.00e-05,31718.09,101752181256434327365534095507456,4341760,N/A,2025-07-26 21:12:22
212,7.067964,N/A,N/A,5.00e-05,31734.06,101752181256434327365534095507456,4362240,N/A,2025-07-26 21:12:23
213,6.513961,N/A,N/A,5.00e-05,31736.23,101752181256434327365534095507456,4382720,N/A,2025-07-26 21:12:23
214,6.452452,N/A,N/A,5.00e-05,31695.39,203504362512868654731068191014912,4403200,N/A,2025-07-26 21:12:24
215,7.103290,N/A,N/A,5.00e-05,31594.05,407008725025737309462136382029824,4423680,N/A,2025-07-26 21:12:25
216,6.597155,N/A,N/A,5.00e-05,31622.99,407008725025737309462136382029824,4444160,N/A,2025-07-26 21:12:25
217,6.047380,N/A,N/A,5.00e-05,31625.58,407008725025737309462136382029824,4464640,N/A,2025-07-26 21:12:26
218,6.859015,N/A,N/A,5.00e-05,31603.16,814017450051474618924272764059648,4485120,N/A,2025-07-26 21:12:27
